Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"INSM","INSMED INC","Health Care","Equity","302,650,483.35","0.46","302,650,483.35","3,945,385.00","76.71","United States","NASDAQ","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","232,987,503.36","0.36","232,987,503.36","926,318.00","251.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANF","ABERCROMBIE AND FITCH CLASS A","Consumer Discretionary","Equity","221,455,810.32","0.34","221,455,810.32","1,278,318.00","173.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SFM","SPROUTS FARMERS MARKET INC","Consumer Staples","Equity","211,982,885.61","0.32","211,982,885.61","2,565,447.00","82.63","United States","NASDAQ","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","207,371,250.84","0.32","207,371,250.84","4,352,881.00","47.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPSC","SPS COMMERCE INC","Information Technology","Equity","189,590,945.25","0.29","189,590,945.25","945,355.00","200.55","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","189,453,390.14","0.29","189,453,390.14","1,410,358.00","134.33","United States","NASDAQ","USD","1.00","USD","-"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Industrials","Equity","188,895,122.50","0.29","188,895,122.50","975,950.00","193.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","182,456,872.83","0.28","182,456,872.83","2,764,917.00","65.99","United States","NASDAQ","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","181,898,355.94","0.28","181,898,355.94","1,544,522.00","117.77","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","176,076,320.96","0.27","176,076,320.96","1,147,376.00","153.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MLI","MUELLER INDUSTRIES INC","Industrials","Equity","170,578,188.40","0.26","170,578,188.40","2,847,716.00","59.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","166,776,866.69","0.25","166,776,866.69","1,072,727.00","155.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","164,703,469.32","0.25","164,703,469.32","2,153,268.00","76.49","United States","NASDAQ","USD","1.00","USD","-"
"SSB","SOUTHSTATE CORP","Financials","Equity","164,168,299.46","0.25","164,168,299.46","1,968,917.00","83.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","163,544,569.50","0.25","163,544,569.50","2,946,749.00","55.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","162,352,006.00","0.25","162,352,006.00","2,660,200.00","61.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTH","MERITAGE CORP","Consumer Discretionary","Equity","162,154,052.90","0.25","162,154,052.90","911,285.00","177.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","158,848,512.12","0.24","158,848,512.12","2,837,594.00","55.98","United States","NASDAQ","USD","1.00","USD","-"
"BECN","BEACON ROOFING SUPPLY INC","Industrials","Equity","157,353,665.91","0.24","157,353,665.91","1,620,699.00","97.09","United States","NASDAQ","USD","1.00","USD","-"
"NOVT","NOVANTA INC","Information Technology","Equity","156,013,934.56","0.24","156,013,934.56","908,008.00","171.82","United States","NASDAQ","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","Energy","Equity","154,371,648.68","0.24","154,371,648.68","3,730,586.00","41.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","151,805,071.60","0.23","151,805,071.60","1,500,940.00","101.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","148,212,004.64","0.23","148,212,004.64","8,161,454.00","18.16","United States","NASDAQ","USD","1.00","USD","-"
"BMI","BADGER METER INC","Information Technology","Equity","143,656,545.27","0.22","143,656,545.27","744,373.00","192.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
